Worklinks,Work,Creatorlink,Creator,Sourcework link,Sourcework,Countrylink,Country,Languagelink,Language,date,Latitude,Longitude
http://www.wikidata.org/entity/Q3934814,Richard III,,,http://www.wikidata.org/entity/Q652011,Richard III,http://www.wikidata.org/entity/Q30,United States,,,1908-01-01T00:00:00Z,39.828175,-98.5795
http://www.wikidata.org/entity/Q24904727,Gnomeo and Juliet 2: Sherlock Gnomes,http://www.wikidata.org/entity/Q6396010,Kevin Cecil,http://www.wikidata.org/entity/Q83186,Romeo and Juliet,http://www.wikidata.org/entity/Q30,United States,,,2018-05-11T00:00:00Z,39.828175,-98.5795
http://www.wikidata.org/entity/Q24904727,Gnomeo and Juliet 2: Sherlock Gnomes,http://www.wikidata.org/entity/Q6396010,Kevin Cecil,http://www.wikidata.org/entity/Q83186,Romeo and Juliet,http://www.wikidata.org/entity/Q30,United States,,,2018-03-22T00:00:00Z,39.828175,-98.5795
http://www.wikidata.org/entity/Q3009047,Much Ado About Nothing,http://www.wikidata.org/entity/Q298025,Joss Whedon,http://www.wikidata.org/entity/Q130851,Much Ado About Nothing,http://www.wikidata.org/entity/Q30,United States,,,2014-07-24T00:00:00Z,39.828175,-98.5795
http://www.wikidata.org/entity/Q24904727,Gnomeo and Juliet 2: Sherlock Gnomes,http://www.wikidata.org/entity/Q6396010,Kevin Cecil,http://www.wikidata.org/entity/Q83186,Romeo and Juliet,http://www.wikidata.org/entity/Q30,United States,,,2018-03-23T00:00:00Z,39.828175,-98.5795
http://www.wikidata.org/entity/Q4067295,Antony and Cleopatra,,,http://www.wikidata.org/entity/Q606830,Antony and Cleopatra,http://www.wikidata.org/entity/Q30,United States,,,1908-01-01T00:00:00Z,39.828175,-98.5795
http://www.wikidata.org/entity/Q28548559,Thane of East County,http://www.wikidata.org/entity/Q28548655,Jesse Keller,http://www.wikidata.org/entity/Q130283,Macbeth,http://www.wikidata.org/entity/Q30,United States,,,2017-12-12T00:00:00Z,39.828175,-98.5795
http://www.wikidata.org/entity/Q132146913,Juliet & Romeo,,,http://www.wikidata.org/entity/Q83186,Romeo and Juliet,http://www.wikidata.org/entity/Q30,United States,,,2025-05-09T00:00:00Z,39.828175,-98.5795
http://www.wikidata.org/entity/Q7719064,The Bomb-itty of Errors,http://www.wikidata.org/entity/Q112076878,Jason Catalano,http://www.wikidata.org/entity/Q506505,The Comedy of Errors,http://www.wikidata.org/entity/Q30,United States,http://www.wikidata.org/entity/Q1860,English,,39.828175,-98.5795
http://www.wikidata.org/entity/Q54510755,King Lear,http://www.wikidata.org/entity/Q1361541,Stephen Warbeck,http://www.wikidata.org/entity/Q181598,King Lear,http://www.wikidata.org/entity/Q30,United States,,,2018-01-01T00:00:00Z,39.828175,-98.5795
http://www.wikidata.org/entity/Q7363128,Romeo and Juliet,http://www.wikidata.org/entity/Q15117330,John W. Noble,http://www.wikidata.org/entity/Q83186,Romeo and Juliet,http://www.wikidata.org/entity/Q30,United States,,,1916-01-01T00:00:00Z,39.828175,-98.5795
