work,workLabel,relation,date,language,languageLabel,country,countryLabel,place,placeLabel,lat,lon,origWork,origTitle
http://www.wikidata.org/entity/Q24904727,Gnomeo and Juliet 2: Sherlock Gnomes,based_on,2018-03-23T00:00:00Z,,,http://www.wikidata.org/entity/Q30,United States,,,,,http://www.wikidata.org/entity/Q83186,Romeo and Juliet
http://www.wikidata.org/entity/Q20413990,Deadly Jealousy,based_on,1982-01-01T00:00:00Z,,,http://www.wikidata.org/entity/Q79,Egypt,,,,,http://www.wikidata.org/entity/Q26833,Othello
http://www.wikidata.org/entity/Q27887267,The First Part of Henry the Sixth,based_on,1983-01-01T00:00:00Z,,,http://www.wikidata.org/entity/Q145,United Kingdom,,,,,http://www.wikidata.org/entity/Q643236,"Henry VI, Part 1"
http://www.wikidata.org/entity/Q47413176,Q47413176,based_on,,http://www.wikidata.org/entity/Q188,German,,,,,,,http://www.wikidata.org/entity/Q743194,The Winter's Tale
http://www.wikidata.org/entity/Q41524744,Much Ado About Nothing,edition_or_translation_of,2003-01-31T00:00:00Z,http://www.wikidata.org/entity/Q1860,English,,,,,,,http://www.wikidata.org/entity/Q130851,Much Ado About Nothing
http://www.wikidata.org/entity/Q30597804,Ophelia,based_on,2019-06-28T00:00:00Z,,,http://www.wikidata.org/entity/Q145,United Kingdom,,,,,http://www.wikidata.org/entity/Q41567,Hamlet
http://www.wikidata.org/entity/Q29868451,The Merchant of Venice,edition_or_translation_of,,,,,,,,,,http://www.wikidata.org/entity/Q206400,The Merchant of Venice
http://www.wikidata.org/entity/Q41486944,Der Klingonische Hamlet,edition_or_translation_of,2015-04-10T00:00:00Z,http://www.wikidata.org/entity/Q188,German,,,,,,,http://www.wikidata.org/entity/Q54800666,The Klingon Hamlet
http://www.wikidata.org/entity/Q39088217,Pozdvižení v Efesu,based_on,,http://www.wikidata.org/entity/Q9056,Czech,,,,,,,http://www.wikidata.org/entity/Q506505,The Comedy of Errors
http://www.wikidata.org/entity/Q47416944,Der Sturm,based_on,,http://www.wikidata.org/entity/Q188,German,,,,,,,http://www.wikidata.org/entity/Q86440,The Tempest
http://www.wikidata.org/entity/Q30597804,Ophelia,based_on,2018-01-01T00:00:00Z,,,http://www.wikidata.org/entity/Q145,United Kingdom,,,,,http://www.wikidata.org/entity/Q41567,Hamlet
http://www.wikidata.org/entity/Q28224687,Macbeth,based_on,1960-01-01T00:00:00Z,,,http://www.wikidata.org/entity/Q408,Australia,,,,,http://www.wikidata.org/entity/Q130283,Macbeth
http://www.wikidata.org/entity/Q19038916,"Blow, blow, thou winter wind",edition_or_translation_of,,,,,,,,,,http://www.wikidata.org/entity/Q62657613,"Blow, blow, thou winter wind"
http://www.wikidata.org/entity/Q24904727,Gnomeo and Juliet 2: Sherlock Gnomes,based_on,2018-04-11T00:00:00Z,,,http://www.wikidata.org/entity/Q145,United Kingdom,,,,,http://www.wikidata.org/entity/Q83186,Romeo and Juliet
http://www.wikidata.org/entity/Q19023168,A Lover and His Lass,edition_or_translation_of,,,,,,,,,,http://www.wikidata.org/entity/Q62672112,It Was a Lover and His Lass
http://www.wikidata.org/entity/Q24904727,Gnomeo and Juliet 2: Sherlock Gnomes,based_on,2018-03-23T00:00:00Z,,,http://www.wikidata.org/entity/Q145,United Kingdom,,,,,http://www.wikidata.org/entity/Q83186,Romeo and Juliet
http://www.wikidata.org/entity/Q47414626,Der Kaufmann von Venedig,based_on,,http://www.wikidata.org/entity/Q188,German,,,,,,,http://www.wikidata.org/entity/Q206400,The Merchant of Venice
http://www.wikidata.org/entity/Q19103921,You Spotted Snakes,edition_or_translation_of,,,,,,,,,,http://www.wikidata.org/entity/Q63036594,You Spotted Snakes
http://www.wikidata.org/entity/Q21197472,Macbeth,based_on,1850-01-01T00:00:00Z,http://www.wikidata.org/entity/Q150,French,,,,,,,http://www.wikidata.org/entity/Q130283,Macbeth
http://www.wikidata.org/entity/Q29563255,El Mercader de Venecia,edition_or_translation_of,1881-01-01T00:00:00Z,http://www.wikidata.org/entity/Q1321,Spanish,,,,,,,http://www.wikidata.org/entity/Q206400,The Merchant of Venice
http://www.wikidata.org/entity/Q18946519,Titania Sleeping,based_on,1841-01-01T00:00:00Z,,,,,,,,,http://www.wikidata.org/entity/Q104871,A Midsummer Night's Dream
http://www.wikidata.org/entity/Q24336369,"Henry IV, Part I",based_on,2012-01-01T00:00:00Z,,,http://www.wikidata.org/entity/Q145,United Kingdom,,,,,http://www.wikidata.org/entity/Q631855,"Henry IV, Part 1"
